"${0} ${1} already exists.","${0} ${1} در حال حاضر وجود دارد.",
"${0} ${1} does not exist","${0} ${1} وجود ندارد.",
"${0} ${1} has been modified after loading","${0} ${1} پس از بارگیری تغییر کرده است.",
"${0} ${1} is linked with existing records.","${0} ${1} با رکوردهای موجود مرتبط است.",
"${0} account not set in Inventory Settings.","حساب ${0} در تنظیمات انبارداری تنظیم نشده است.",
"${0} already saved","${0} قبلاً ذخیره شده است",
"${0} already submitted","${0} قبلاً ثبت شده است",
"${0} cancelled","${0} لغو شد",
"${0} cannot be cancelled","${0} قابل لغو نیست.",
"${0} cannot be deleted","${0} قابل حذف نیست",
"${0} deleted","${0} حذف شد",
"${0} entries failed","${0} مورد ناموفق بود",
"${0} entries imported","${0} موارد وارد شد",
"${0} entry failed","${0} مورد ناموفق بود",
"${0} entry imported","${0} مورد وارد شد.",
"${0} fields selected","${0} فیلد ها انتخاب شده است.",
"${0} filters applied","${0} فیلترها اعمال شده است",
"${0} of type ${1} does not exist","${0} از نوع ${1} وجود ندارد",
"${0} out of ${1}","${0} از ${1}",
"${0} party ${1} is different from ${2}","${0} طرف حساب ${1} متفاوت است با ${2}",
"${0} quantity 1 added.","مقدار ۱ ${0} اضافه شد.",
"${0} row added.","یک ردیف اضافه شد.",
"${0} rows","${0} ردیف",
"${0} rows added.","ردیف های ${0} اضافه شدند.",
"${0} saved","${0} ذخیره شد",
"${0} shortcuts","شارت کت ها ${0}",
"${0} stored at ${1}","${0} در ${1} ذخیره شده است",
"${0} submitted","${0} ثبت شده است",
"${0} value ${1} does not exist.","مقدار ${1} برای ${0} وجود ندارد.",
0%,,
03-23-2022,03-23-1402,
03/23/2022,03/23/1402,
"1 filter applied","1 فلتر اعمال شده",
2022-03-23,1402-03-23,
"23 Mar, 2022","1402,23 حمل",
23-03-2022,23-3-1402,
23.03.2022,23.03.1402,
23/03/2022,23/03/1402,
9888900000,0797987769,
"A submittable entry is deleted only if it is in the cancelled state.","یک مورد ثبت شونده زمانی حذف میشود که در حالت لغو شده قرار داشته باشد.",
Account,حساب ,
"Account ${0} does not exist.","حساب ${0} وجود ندارد.",
"Account Entries","ورودی های حساب",
"Account Name","نام حساب",
"Account Type","نوع حساب ",
Accounting,حسابداری,
"Accounting Entries","ثبت شده های حسابداری",
"Accounting Ledger Entry","ثبت شده در دفتر کل",
"Accounting Settings","تنظیمات حسابداری",
Accounts,"حساب ها",
"Accounts Payable","حساب های پرداختنی",
"Accounts Receivable","حساب های دریافتنی",
"Accumulated Depreciation","مجموع کاهش ارزش دارایی ها",
Action," اقدام",
Active,فعال,
"Add Account","افزودن حساب",
"Add Customers","افزودن مشتریان",
"Add Group","افزودن گروه",
"Add Items","افزودن کالاها",
"Add Row","افزودن ردیف",
"Add Suppliers","افزودن تامین کنندگان",
"Add Taxes","افزودن مالیات ها",
"Add a few customers to create your first sales invoice","برای ایجاد اولین فاکتور فروش خود چند مشتری اضافه کنید",
"Add a few suppliers to create your first purchase invoice","برای ایجاد اولین فاکتور خرید خود چند تامین‌کننده اضافه کنید",
"Add a filter","افزودن فیلتر",
"Add a remark","افزودن ملاحظه",
"Add attachment","اضافه کردن ضمیمه",
"Add invoice terms","افزودن یادداشت فاکتور",
"Add products or services that you buy from your suppliers","افزودن محصولات یا خدماتی که از تامین‌کنندگان خرید می‌کنید",
"Add products or services that you sell to your customers","افزودن محصولات یا خدماتی که به مشتریانتان می‌فروشید",
"Add transfer terms","افزودن یادداشت انتقال",
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.","${0} سریال نمبر اضافی نیاز است به تعداد ${1} برای ${2}",
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}","مقدار اضافی (${0}) برای انتقال خروجی کالای ${2} از ${3} در تاریخ ${4} مورد نیاز است${1}",
Address,آدرس,
"Address Display","نمایش آدرس",
"Address Line 1","آدرس 1",
"Address Line 2","آدرس 2",
"Address Name","نام آدرس",
"Administrative Expenses","مصارف اداری",
All,همه,
Amount,"مجموع",
"Amount Paid","مبلغ پرداخت شده",
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","مقدار: ${0} و مقدار کسر (مبلغ لغو شده از قرض) :${1} کمتر از مجموع مقدار است که به رفرنس :${2}  اختصاص داده شده",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","مقدار: ${0} کمتر از قمیت مجموع اختصاص داده شده به رفرنس ${1} است",
Amounts,مقادیر,
"An entry is cancelled only if it is in the submitted state.","یک مورد فقط در صورتی لغو می شود که در وضعیت ثبت شده باشد.",
"An entry is submitted only if it is submittable and is in the saved state.","یک مورد فقط در صورتی ثبت می شود که قابل ثبت باشد و در وضعیت ذخیره شده باشد.",
"An error occurred.","خطایی رخ داد.",
"Applicable anywhere in Frappe Books","در هر جای کتاب های Frappe قابل اجرا است",
"Applicable when Quick Search is open","قابل اجرا زمانی که پنجره جستجو باز است",
"Applicable when Template Builder is open","قابل اجرا زمانی که سازنده قالب باز است",
"Applicable when a entry is open in the Form view or Quick Edit view","قابل اجرا زمانی که یک مورد در ویرایش سریع ویا در فرم باز است",
"Applicable when the List View of an entry type is open","قابل اجرا زمانی که یک لیست ویا یک مورد باز است",
"Application of Funds (Assets)","دارایی ها",
"Apply Discount After Tax","اعمال تخفیف بعد از مالیات",
"Apply and view changes made to the print template","اعمال و مشاهده تغییرات اعمال شده در قالب چاپ",
April,آپریل,
Arial,,
"Ascending Order","ترتیب صعودی",
Asset,دارایی,
Attachment,ضمیمه,
August,آگست,
"Auto Payments","پرداخت های خودکار",
"Auto Stock Transfer",انتقال اجناس خودکار,
"Back Reference","رفرنس فروش",
"Bad import data, could not read file.","داده‌های وارد شده نامعتبر است، امکان خواندن فایل وجود ندارد",
Balance,بیلانس,
Balance Sheet,بیلانس شیت,
Bank,بانک,
"Bank Accounts","حساب های بانکی",
"Bank Entry","ثبت بانک",
"Bank Name","نام بانک",
"Bank Overdraft Account","حساب اضافه پرداخت بانکی",
Barcode,بارکد,
"Base Grand Total","قیمت کل ",
"Based On","بر اساس",
Batch,دسته,
"Batch not set for row ${0}.","دسته برای ردیف ${0} تعیین نشده است.",
"Batch set for row ${0}.","دسته برای ردیف ${0} تعیین شده است.",
"Bill Created","قبض ایجاد شد",
Billing,"صدور صورت حساب",
Black,سیاه,
Blue,آبی,
Both,"هر دو (خرید و فروش)",
"Both From and To Location cannot be undefined","هر دو مکان از و به نمی‌تواند تعریف نشده باشند",
Buildings,"ساختمان ها",
Cancel,"لغو کردن",
"Cancel ${0}?","را لغو کنید؟ ${0} آیا میخواهید",
"Cancel or Delete an entry.","حذف ویا لغو یک مورد.",
Cancelled,"لغو شد",
"Cannot Commit Error","خطای COMMIT",
"Cannot Delete","نمیتوان حذف کرد",
"Cannot Export","نمیتوان استخراج گرفت",
"Cannot Import","نمیتوان وارد کرد",
"Cannot Open File","نمی‌توان فایل را باز کرد",
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}","${0} ${1} را نمیتوان لغو کرد به دلیل ${2} : ${3}",
"Cannot delete ${0} ""${1}"" because of linked entries.","'${0} ""${1}"" را به دلیل وابستگی به رکود های نمیتوان حذف کرد '",
"Cannot open file",نمیتوان فایل را باز کرد,
