"${0} ${1} already exists.","${0} ${1} 已经存在。",
"${0} ${1} does not exist",,
"${0} ${1} has been modified after loading","${0} ${1} 加载后已修改",
"${0} ${1} is linked with existing records.","${0} ${1} 与现有记录相关联。",
"${0} account not set in Inventory Settings.",,
"${0} already saved",,
"${0} already submitted",,
"${0} cancelled",,
"${0} cannot be cancelled",,
"${0} cannot be deleted",,
"${0} deleted",,
"${0} entries failed",,
"${0} entries imported",,
"${0} entry failed",,
"${0} entry imported",,
"${0} fields selected",,
"${0} filters applied","${0} 已应用过滤器",
"${0} of type ${1} does not exist",,
"${0} out of ${1}",,
"${0} party ${1} is different from ${2}",,
"${0} quantity 1 added.",,
"${0} row added.",,
"${0} rows","${0} 行",
"${0} rows added.",,
"${0} saved",,
"${0} shortcuts",,
"${0} stored at ${1}",,
"${0} submitted",,
"${0} value ${1} does not exist.",,
0%,0%,
03-23-2022,03-23-2022,
03/23/2022,03/23/2022,
"1 filter applied","已应用 1 个过滤器",
2022-03-23,,
"23 Mar, 2022","23 Mar, 2022",
23-03-2022,23-03-2022,
23.03.2022,,
23/03/2022,23/03/2022,
9888900000,9888900000,
"A submittable entry is deleted only if it is in the cancelled state.",,
Account,帐户,
"Account ${0} does not exist.",,
"Account Entries",帐户条目,
"Account Name",帐户名称,
"Account Type",帐户类型,
Accounting,,
"Accounting Entries",,
"Accounting Ledger Entry",会计分类帐输入,
"Accounting Settings",会计设置,
Accounts,账户,
"Accounts Payable",应付账款,
"Accounts Receivable",应收账款,
"Accumulated Depreciation",累计折旧,
Action,,
Active,,
"Add Account",添加帐户,
"Add Customers",添加客户,
"Add Group",添加组,
"Add Items",添加项目,
"Add Row",添加行,
"Add Suppliers",添加供应商,
"Add Taxes",加税,
"Add a few customers to create your first sales invoice",,
"Add a few suppliers to create your first purchase invoice",,
"Add a filter",添加过滤器,
"Add a remark",添加备注,
"Add attachment",,
"Add invoice terms",添加发票条款,
"Add products or services that you buy from your suppliers",添加您从供应商处购买的产品或服务,
"Add products or services that you sell to your customers",添加您向客户销售的产品或服务,
"Add transfer terms",,
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.",,
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}",,
Address,地址,
"Address Display",地址显示,
"Address Line 1","地址第 1 行",
"Address Line 2","地址第 2 行",
"Address Name",,
